ef9d942d-f993-44db-8e4e-2177d03a20db;iulian.florea@yahoo.com;Iulian;Florea;aXVsaWFuMQ==;05-10-2022;27-10-1993;Whilst there's a competition still on we're still a chance
d2bc39f8-587d-4dde-8753-de29fa582865;adela.florescu@yahoo.com;Adela;Florescu;YWRlbGEx;08-10-2022;12-10-1992;First say to yourself what you would be, and then do what you have to do
4eb09351-55c1-4ac5-9601-facd4daa4be1;ovidiu.munteanu@outlook.com;Ovidiu;Munteanu;b3ZpZGl1MQ==;09-10-2022;08-06-2004;Mind is never a problem. Mindset is
a2045ef2-3393-47fa-a148-8784aa8ae61e;alexandru.stoica@yahoo.com;Alexandru;Stoica;YWxleGFuZHJ1MQ==;11-10-2022;07-10-2005;You can’t use up creativity. The more you use, the more you have
cf2ffb2a-b926-4c1a-9afb-63eb80cc7aed;andreea.tomulescu@hotmail.com;Andreea;Tomulescu;YW5kcmVlYTE=;14-10-2022;31-07-1992;Care too little you'll lose them, Care too much you'll get hurt
8ff14779-db4f-498b-8fcf-8f5044cc6176;eugen.ionescu@hotmail.com;Eugen;Ionescu;ZXVnZW4x;15-10-2022;02-09-1996;A man's worth is no greater than his ambitions
080becb4-66fa-48dc-b7d1-6fe186a21d40;stefania.matasaru@outlook.com;Stefania;Matasaru;c3RlZmFuaWEx;15-10-2022;24-07-1996;Action is the product of the Qualities inherent in Nature
728bddad-16d7-49e8-9367-c5f12b7d641d;ana.pintiliciuc@hotmail.com;Ana;Pintiliciuc;YW5hMQ==;10-11-2022;10-03-2002;O colega
0463dfd6-dcab-4b78-8c78-45d0367b59e5;sergiu.teodorescu@gmail.com;Sergiu;Teodorescu;c2VyZ2l1MQ==;15-10-2022;27-02-2006;A room without books is like a body without a soul
f3052818-38da-4bed-ad19-52c2d7aef8ae;bianca.birsan@gmail.com;Bianca;Birsan;YmlhbmNhMQ==;19-10-2022;18-09-1998;A goal without a plan is just a Wish
50e6ab0f-3943-46e6-81bc-8aa9201a5870;eugen.teodorescu@hotmail.com;Eugen;Teodorescu;ZXVnZW4x;24-10-2022;08-12-1992;Legend: A lie that has attained the dignity of age
9ca5a1bc-44e2-454c-b341-dd4539c2e3a4;lucian.pop@outlook.com;Lucian;Pop;bHVjaWFuMQ==;30-10-2022;04-02-2000;Perseverance and spirit have done wonders in all ages
46cb102e-0948-47a9-a87a-076915a5dc85;adrian.popescu@gmail.com;Adrian;Popescu;YWRyaWFuMQ==;31-10-2022;26-09-1995;Be stronger than your excuses
36e41c25-dc70-40e2-9ea0-b251dc034a78;eugen.dragomir@yahoo.com;Eugen;Dragomir;ZXVnZW4x;01-10-2022;27-09-2000;4 out 3 people struggle with math
6d252d97-89e3-478d-ae95-6b64731f4cc8;camelia.bucur@yahoo.com;Camelia;Bucur;Y2FtZWxpYTE=;01-10-2022;25-07-2003;On the internet, you can never be quite sure who said what
f373b340-b73e-45ff-8aff-a049fc7a49c5;bogdan.ionescu@gmail.com;Bogdan;Ionescu;Ym9nZGFuMQ==;02-10-2022;21-07-1993;I never did a day’s work in my life. It was all fun
f10d0353-0a7a-4eff-a637-1710ddfee05f;mihai.petrutiu@gmail.com;Mihai;Petrutiu;bWloYWkx;10-11-2022;12-02-2002;Un coleg
